V 9.5.1		FORMAT-SPEC-1 		UNK 	a256 	a256
V 9.5.2		FORMAT-SPEC-2 		UNK 	a256 	a256
V 9.5.3		FORMAT-SPEC-3 		UNK 	a256 	a256
B 10 		LOG			NUL	NUL	NUL
V 10.1 		LOG-COUNT		UNK	a6	a6
B 10.2 		LOG-ENTRIES		NUL	NUL	NUL
V 10.2.1	LOG-ENTRY-1 		UNK 	a259 	a259
V 10.2.2	LOG-ENTRY-2 		UNK 	a259 	a259
V 10.2.3	LOG-ENTRY-3 		UNK 	a259 	a259
V 10.2.4	LOG-ENTRY-4 		UNK 	a259 	a259
V 10.2.5	LOG-ENTRY-5 		UNK 	a259 	a259
V 10.2.6	LOG-ENTRY-6 		UNK 	a259 	a259
V 10.2.7	LOG-ENTRY-7 		UNK 	a259 	a259
V 10.2.8	LOG-ENTRY-8 		UNK 	a259 	a259
V 10.2.9	LOG-ENTRY-9 		UNK 	a259 	a259
V 10.2.10	LOG-ENTRY-10 		UNK 	a259 	a259
B 11 		LIVE-BUFFER		NUL	NUL	NUL
V 11.2 		BUFFER			UNK	r8192	r8192
V 11.2 		BUFFER-RESTRICT		UNK	r8192	r8192
B 12 		DRSU-STATUS		NUL	NUL	NUL
V 12.1 		DRSU-COUNT		UNK	a2	a2
V 12.2 		DRSU-SELECTED		UNK	a2	a2
B 12.3 		DRSU-INFO		NUL	NUL	NUL
V 12.3.1	DRSU-INFO-1 		UNK 	a88 	a88
V 12.3.2	DRSU-INFO-2 		UNK 	a88 	a88
